fhm_season_id,abbreviation,gp,w,l,ties,otl,sow,sol,pts,gf,ga,streak,conference,division
,TOR,63,39,16,8,0,0,0,86,229,137,L1,East,
,MTL,63,37,22,4,0,0,0,78,247,181,W3,East,
,NYR,63,32,21,10,0,0,0,74,195,151,W3,East,
,BOS,63,30,22,11,0,0,0,71,197,149,L4,East,
,DET,61,26,26,9,0,0,0,61,162,175,W2,East,
,CHI,62,24,30,8,0,0,0,56,160,195,L2,East,
,STL,62,29,23,10,0,0,0,68,173,147,W1,West,
,PIT,63,31,26,6,0,0,0,68,170,169,L1,West,
,PHI,63,27,31,5,0,0,0,59,139,169,L1,West,
,OAK,64,20,37,7,0,0,0,47,108,160,L6,West,
,MIN,63,17,35,11,0,0,0,45,111,175,W4,West,
,LAK,64,14,37,13,0,0,0,41,111,194,L9,West,
