TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;34;182;56;1125;663;53.9;460;815;245;333;31;18.15;148;42;0;118;5;3;400400;197066;18200;16422;22;11;105
3;35;140;106;1070;830;52.0;549;847;294;393;102;18.60;172;12;8;174;25;3;263760;281440;16485;14812;16;10;101
5;32;68;92;730;786;49.1;477;762;260;305;30;14.78;136;10;3;125;10;8;192775;256415;13769;14245;4;9;95
8;35;115;94;937;844;50.1;577;725;334;308;22;14.23;143;29;6;112;14;1;360615;204379;17172;14598;3;7;93
9;35;114;112;939;944;52.5;608;692;320;290;105;17.06;167;23;7;159;24;3;202786;350061;15598;15911;4;16;93
10;32;112;77;1017;807;50.1;401;664;303;294;114;14.22;128;20;3;124;12;4;304865;205667;17933;13711;16;7;100
118;33;61;106;713;815;50.9;417;865;303;300;181;17.76;120;11;3;151;18;2;304095;187600;16005;13400;19;5;100
119;34;64;100;669;745;50.8;438;799;327;282;22;12.53;130;9;1;135;18;7;112031;317204;9335;14418;0;7;62
120;33;104;80;813;741;45.1;419;790;251;390;14;14.00;113;12;4;122;20;6;137601;271597;9828;14294;0;7;72
121;33;88;121;841;909;50.2;465;635;298;383;175;14.24;118;14;4;112;13;4;185800;251368;12386;13964;0;7;71
122;32;110;112;786;817;49.0;420;709;215;351;260;14.69;103;12;2;115;16;9;337038;156340;16851;13028;15;4;99
123;36;98;123;763;1084;50.4;485;921;312;363;6;16.44;128;11;2;165;21;3;147889;285242;8699;15012;0;10;51
130;34;78;93;854;898;47.9;459;693;350;326;0;12.91;163;16;9;131;11;6;207053;267690;12179;15746;0;10;74
131;34;67;129;665;1039;46.8;535;726;263;330;48;13.41;104;7;4;130;19;2;309339;233978;16281;15598;19;8;100
