PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired;Hand;Rookie
4037;123;123;Lou;Angotti;;69;162;1938-1-16;Toronto;ON;Canada;;;0;Right;0
5636;84;84;Jim;Adair;;72;181;1948-9-29;Brockville;ON;Canada;;;0;Left;0
4921;90;90;Gerry;Abel;;74;195;1944-12-25;Elk Rapids;MI;The United States;Canada;;0;Left;0
4465;123;123;Paul;Andrea;;70;174;1941-7-31;Windsor;NS;Canada;;;0;Left;0
6085;89;89;Ron;Anderson;;70;165;1950-1-21;Perth-Andover;NB;Canada;;;0;Right;0
4136;26;8;Dave;Amadio;Hoss;73;207;1939-4-23;Hantsport;NS;Canada;;;0;Right;0
5637;89;89;Kevin;Ahearn;;70;168;1948-6-20;Mont Alto;PA;The United States;;;0;Left;0
4466;122;122;Norm;Beaudin;;69;170;1941-11-28;Outlook;SK;Canada;;;0;Right;0
4467;90;90;Claude;Cardin;;70;179;1941-2-17;Châteauguay;QC;Canada;;;0;Left;0
5638;84;84;Ron;Anderson;;72;190;1948-11-15;Dryden;ON;Canada;;;0;Right;0
4038;90;90;Norm;Armstrong;Red;71;205;1938-10-17;Owen Sound;ON;Canada;;;0;Left;0
3040;95;95;Jim;Anderson;;70;165;1930-12-1;Pembroke;ON;Canada;;;0;Left;0
6086;85;85;Michel;Archambault;Mike;68;161;1950-9-27;Saint-Jérôme;QC;Canada;;;0;Left;0
6568;87;87;Fred;Ahern;;72;181;1952-2-12;Woodstock;VA;The United States;;;0;Right;1
6569;83;83;Chris;Ahrens;;72;185;1952-7-31;San Diego Country Estates;CA;The United States;;;0;Right;1
4341;90;90;Gary;Bauman;;71;175;1940-7-21;Duchess;AB;Canada;;;0;Left;0
2815;90;90;Ray;Barry;;71;170;1928-10-4;Revere;MA;The United States;Canada;;0;Left;0
5396;26;8;Ray;Adduono;;69;161;1947-1-21;Thunder Bay;ON;Canada;;;0;Left;0
4468;90;90;Brian;Conacher;;75;197;1941-8-31;Toronto;ON;Canada;;;0;Left;0
6570;84;84;Mike;Amodeo;;70;190;1952-6-22;Toronto;ON;Italy;Canada;;0;Left;1
