PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired;Hand;Rookie
0;159;159;Peter;Bartos;;72;185;1973-9-5;Martin;ZIL;Slovakia;;;0;Right;0
1;56;5;Jan;Benda;;75;218;1972-3-28;Brussels;BRU;Germany;Belgium;;0;Right;0
2;17;17;Jaromir;Jagr;;75;230;1972-2-15;Kladno;STR;Czech Republic;;;0;Left;0
3;156;156;Marko;Jantunen;;70;185;1971-2-14;Lahti;PAH;Finland;;;0;Left;0
4;62;11;Pavel;Kolarík;;73;207;1972-10-24;Vyskov;JHM;Czech Republic;;;0;Left;0
5;12;12;Róbert;Petrovický;;71;179;1973-10-26;Kosice;KOS;Slovakia;;;0;Left;0
6;221;221;Jozef;Stümpel;;75;222;1972-7-20;Nitra;NIT;Slovakia;;;0;Right;0
7;19;19;Petteri;Nummelin;Numppa;70;194;1972-11-25;Turku;SOU;Finland;;;0;Left;0
8;186;186;Fredrik;Bremberg;;72;201;1973-6-21;Malmö;SKå;Sweden;;;0;Left;0
9;177;177;Tony;Hand;Sir Tony;70;181;1967-8-15;Edinburgh;SCO;Scotland;;;0;Right;0
10;186;186;Mike;Pomichter;;73;212;1973-9-10;New Haven;CT;The United States;;;0;Right;0
14024;61;10;Chris;Allen;;75;234;1978-5-8;Chatham-Kent;ON;Canada;England;;0;Right;1
12;186;186;Russ;Adam;;70;185;1961-5-5;Windsor;ON;Canada;;;0;Left;0
14485;56;5;Maxim;Afinogenov;;72;190;1979-9-4;Moscow;MOS;Russia;;;0;Left;0
14;5;5;Greg;Adams;Gus;75;195;1963-8-15;Nelson;BC;Canada;;;0;Left;0
14486;215;214;Scott;Barney;;76;225;1979-3-27;Oshawa;ON;Canada;;;0;Right;1
16;186;186;Jim;Agnew;;73;190;1966-3-21;Deloraine;MB;Canada;;;0;Left;0
17;156;156;Peter;Ahola;;75;205;1968-5-14;Espoo;UUS;Finland;;;0;Left;0
18;186;186;Brad;Aitken;;74;200;1967-10-30;Toronto;ON;Canada;;;0;Left;0
19;186;186;Micah;Aivazoff;;72;195;1969-5-4;Powell River;BC;Canada;;;0;Left;0
20;156;156;Mika;Alatalo;;72;202;1971-6-11;Oulu;NOS;Finland;;;0;Left;0
21;9;9;Tommy;Albelin;;74;195;1964-5-21;Stockholm;STO;Sweden;;;0;Left;0
22;186;186;Keith;Aldridge;;71;185;1973-7-20;Detroit Beach;MI;The United States;;;0;Right;0
23;3;3;Daniel;Alfredsson;Alfie;72;207;1972-12-11;Göteborg;VäS;Sweden;;;0;Right;0
24;186;186;Peter;Allen;;74;200;1970-3-6;Calgary;AB;Canada;;;0;Right;0
14961;179;179;Ryan;Bayda;;71;185;1980-12-9;Shellbrook;SK;Canada;;;0;Left;0
26;75;24;Ray;Allison;;70;195;1959-3-4;Cranbrook;BC;Canada;;;0;Right;0
27;186;186;Peter;Ambroziak;;72;206;1971-9-15;Toronto;ON;Canada;;;0;Left;0
28;0;0;Tony;Amonte;Bones;72;200;1970-8-2;Hingham;MA;The United States;;;0;Left;0
29;186;186;Erik;Andersson;;75;210;1971-8-19;Stockholm;STO;Sweden;;;0;Left;0
15460;180;180;Craig;Anderson;;74;187;1981-5-21;Pecatonica;IL;The United States;;;0;Left;1
12990;224;224;Lubos;Bartecko;;72;201;1976-7-14;Kezmarok;PRE;Slovakia;;;0;Left;1
32;19;19;Mikael;Andersson;;71;181;1966-5-10;Malmö;SKå;Sweden;;;0;Left;0
33;223;221;Niklas;Andersson;;69;180;1971-5-20;Kungälv;VäS;Sweden;;;0;Left;0
34;186;186;Perry;Anderson;Wheels;73;225;1961-10-14;Barrie;ON;Canada;;;0;Left;0
35;155;155;Peter;Andersson;;74;200;1962-3-2;Södertälje;STO;Sweden;;;0;Right;0
36;155;155;Peter;Andersson;;72;198;1965-8-29;Örebro;ÖRE;Sweden;;;0;Left;0
37;186;186;Shawn;Anderson;;73;200;1968-2-7;Montreal;QC;Canada;;;0;Left;0
38;217;217;Dave;Andreychuk;;76;220;1963-9-29;Hamilton;ON;Canada;;;0;Right;0
39;160;160;Alexander;Andriyevski;;77;212;1968-8-10;Minsk;MIN;Belarus;;;0;Right;0
40;186;186;Greg;Andrusak;;73;195;1969-11-14;Cranbrook;BC;Canada;;;0;Right;0
41;186;186;Mel;Angelstad;The Mangler;74;214;1972-10-31;Saskatoon;SK;Canada;;;0;Left;0
11977;70;19;Martin;Gerber;Tinu;71;207;1974-9-3;Burgdorf;BE;Switzerland;;;0;Left;0
43;186;186;Shawn;Antoski;Moose;76;235;1970-3-25;Brantford;ON;Canada;;;0;Left;0
44;186;186;Dave;Archibald;Archie;73;210;1969-4-14;Chilliwack;BC;Canada;;;0;Left;0
45;186;186;Bill;Armstrong;Army;74;195;1966-6-25;London;ON;Canada;;;0;Left;0
46;24;24;Derek;Armstrong;Army;72;190;1973-4-23;Ottawa;ON;Canada;;;0;Right;0
47;186;186;Tim;Armstrong;;71;170;1967-5-12;Toronto;ON;Canada;;;0;Right;0
15994;179;179;Jared;Aulin;;72;192;1982-3-15;Camrose;AB;Canada;;;0;Right;1
49;25;25;Magnus;Arvedson;;74;198;1971-11-25;Karlstad;VäR;Sweden;;;0;Left;0
15461;179;179;Jonas;Andersson;;75;209;1981-2-24;Stockholm;STO;Sweden;;;0;Left;0
